Region,Term,Recognition_Rate
Western Africa,0,0.4238
Western Africa,1,0.1443
Western Africa,2,0.1665
Western Africa,3,0.5964
Western Africa,4,0.1302
Western Africa,5,0.1241
Western Africa,6,0.0999
Western Africa,7,0.0989
Western Africa,8,0.1645
