Region,Term,Recognition_Rate
Central America,0,0.5429
Central America,1,0.2775
Central America,2,0.2067
Central America,3,0.7438
Central America,4,0.2011
Central America,5,0.1462
Central America,6,0.1417
Central America,7,0.2074
Central America,8,0.3361
