Region,Term,Recognition_Rate
Southern Asia,0,0.3826
Southern Asia,1,0.1792
Southern Asia,2,0.2876
Southern Asia,3,0.4965
Southern Asia,4,0.1602
Southern Asia,5,0.1213
Southern Asia,6,0.1947
Southern Asia,7,0.1105
Southern Asia,8,0.2074
