Region,Term,Recognition_Rate
Eastern Africa,0,0.4663
Eastern Africa,1,0.2004
Eastern Africa,2,0.2495
Eastern Africa,3,0.6247
Eastern Africa,4,0.1646
Eastern Africa,5,0.1309
Eastern Africa,6,0.1595
Eastern Africa,7,0.1135
Eastern Africa,8,0.2372
